height_mm,volume_litres
142.700,47.707440
142.800,47.750789
142.900,47.794139
143.000,47.837488
143.100,47.880838
143.200,47.924187
143.300,47.967537
143.400,48.010886
143.500,48.054236
143.600,48.097585
143.700,48.140935
143.800,48.184284
143.900,48.227634
144.000,48.270983
144.100,48.314333
144.200,48.357682
144.300,48.401032
144.400,48.444381
144.500,48.487731
144.600,48.531080
144.700,48.574429
144.800,48.617779
144.900,48.661128
145.000,48.704478
145.100,48.747827
145.200,48.791177
145.300,48.834526
145.400,48.877876
145.500,48.921225
145.600,48.964575
145.700,49.007924
145.800,49.051274
145.900,49.094623
146.000,49.137973
146.100,49.181322
146.200,49.224672
146.300,49.268021
146.400,49.311371
146.500,49.354720
146.600,49.398070
146.700,49.441419
146.800,49.484769
146.900,49.528118
147.000,49.571468
147.100,49.614817
147.200,49.658167
147.300,49.701516
147.400,49.744866
147.500,49.788215
147.600,49.831565
147.700,49.874914
147.800,49.918264
147.900,49.961613
148.000,50.004963
148.100,50.048312
148.200,50.091662
148.300,50.135011
148.400,50.178361
148.500,50.221710
148.600,50.265060
148.700,50.308409
148.800,50.351759
148.900,50.395108
149.000,50.438458
149.100,50.481807
149.200,50.525157
149.300,50.568506
149.400,50.611856
149.500,50.655205
149.600,50.698555
149.700,50.741904
149.800,50.785254
149.900,50.828603
150.000,50.871952
150.100,50.915302
150.200,50.958651
150.300,51.002001
150.400,51.045350
150.500,51.088700
150.600,51.132049
150.700,51.175399
150.800,51.218748
150.900,51.262098
151.000,51.305447
151.100,51.348797
151.200,51.392146
151.300,51.435496
151.400,51.478845
151.500,51.522195
151.600,51.565544
151.700,51.608894
151.800,51.652243
151.900,51.695593
152.000,51.738942
152.100,51.782292
152.200,51.825641
152.300,51.868991
152.400,51.912340
152.500,51.955690
152.600,51.999039
152.700,52.042389
152.800,52.085738
152.900,52.129088
153.000,52.172437
153.100,52.215787
153.200,52.259136
153.300,52.302486
153.400,52.345835
153.500,52.389185
153.600,52.432534
153.700,52.475884
153.800,52.519233
153.900,52.562583
154.000,52.605932
154.100,52.649282
154.200,52.692631
154.300,52.735981
154.400,52.779330
154.500,52.822680
